# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
bian1 ma3 siu4 lie1 	編碼序列	c=1 d=0.102797 t=12045
bian1 pai2 	編排	c=1 d=0.305746 t=12045
bian1 zi2 qi4 	編輯器	c=1 d=0.0303487 t=12045
bian4 cheng2 	變成	c=0 d=0.00784731 t=12045
bian4 cheng2 liau3 	變成了	c=1 d=0.0788664 t=12045
bian4 hua4 	變化	c=5 d=0.820438 t=12045
bian4 huan4 	變換	c=5 d=0.464952 t=12045
bian4 shen1 	變身	c=1 d=0.398519 t=12045
bian4 siau3 	變小	c=1 d=0.400517 t=12045
bian4 xe2 	便攜	c=1 d=0.932394 t=12045
bian4 yu1 	便於	c=1 d=0.349938 t=12045
biau1 	標	c=1 d=0.110803 t=12045
biau1 cian1 	標籤	c=1 d=0.431711 t=12045
biau1 ji4 	標記	c=0 d=0.0470011 t=12045
biau1 shu1 	標書	c=2 d=0.225603 t=12045
biau1 ti2 	標題	c=1 d=0.013912 t=12045
biau1 ti2 lan2 	標題欄	c=1 d=0.115325 t=12045
biau1 zhun3 	標準	c=1 d=0.00990218 t=12045
biau1 zhy4 	標誌	c=2 d=0.814647 t=12045
biau3 	表	c=1 d=0.479505 t=12045
biau3 da1 	表達	c=19 d=2.50673 t=12045
biau3 da1 te2 dian3 	表達特點	c=1 d=0.733447 t=12045
biau3 da1 yu1 	表達於	c=2 d=0.91724 t=12045
biau3 da1 zai4 	表達在	c=2 d=1.72616 t=12045
biau3 ge1 	表格	c=3 d=0.0723704 t=12045
biau3 mian4 	表面	c=9 d=1.75549 t=12045
biau3 mian4 biau1 zhy4 	表面標誌	c=1 d=0.264477 t=12045
biau3 ming2 	表明	c=1 d=0.499074 t=12045
biau3 pi2 	表皮	c=1 d=0.133989 t=12045
biau3 shy4 	表示	c=11 d=1.15613 t=12045
biau3 wui4 	表位	c=0 d=0.0995012 t=12045
biau3 xan4 	表現	c=2 d=0.65377 t=12045
biau3 xan4 chu1 	表現出	c=1 d=0.321422 t=12045
biau3 xing2 	表型	c=2 d=0.297231 t=12045
bie2 	別	c=3 d=0.343787 t=12045
bie2 jau4 	別叫	c=1 d=0.371577 t=12045
bing1 fen1 	兵分	c=1 d=0.145876 t=12045
bing1 siue1 	冰雪	c=0 d=0.0995012 t=12045
bing1 siue1 wu2 rhen2 jan4 	冰雪無人見	c=1 d=1 t=12045
bing4 	並	c=8 d=1.24089 t=12045
bing4 	病	c=0 d=0.0449329 t=12045
bing4 ba3 	並把	c=1 d=0.390628 t=12045
bing4 bu1 	並不	c=1 d=0.22313 t=12045
bing4 bu1 yi1 ding4 	並不一定	c=0 d=0.0588605 t=12045
bing4 bu1 yi1 ding4 shy4 	並不一定是	c=1 d=0.591555 t=12045
bing4 cie3 	並且	c=1 d=0.239309 t=12045
bing4 du2 	病毒	c=3 d=0.389284 t=12045
bing4 hau3 	病好	c=1 d=0.045502 t=12045
bing4 hau4 	病號	c=1 d=0.04573 t=12045
bing4 ji1 	並擊	c=4 d=0.873716 t=12045
bing4 ju4 you3 	並具有	c=1 d=0.694197 t=12045
bing4 li3 	病理	c=1 d=0.140156 t=12045
bing4 mu2 you3 	並沒有	c=1 d=0.301194 t=12045
bing4 tung1 guo1 	並通過	c=1 d=0.285076 t=12045
bing4 yuan2 ti3 	病原體	c=1 d=0.814647 t=12045
bing4 zai4 	並在	c=1 d=0.985112 t=12045
bing4 ziang1 	並將	c=1 d=0.433874 t=12045
bu1 	不	c=13 d=1.43222 t=12045
bu1 ai4 shy4 	不礙事	c=1 d=0.113608 t=12045
bu1 an4 	不按	c=1 d=0.0256042 t=12045
bu1 bau1 	不包	c=1 d=0.188247 t=12045
bu1 bau1 pi2 	不包皮	c=1 d=0.18452 t=12045
bu1 bau3 huo2 	不飽和	c=1 d=0.0409665 t=12045
bu1 bau4 xi1 wang4 	不抱希望	c=1 d=0.331211 t=12045
bu1 bei4 	不被	c=1 d=0.0930145 t=12045
bu1 biau3 da1 	不表達	c=3 d=1.16426 t=12045
bu1 cha1 	不差	c=2 d=0.774884 t=12045
bu1 cheng2 	不成	c=1 d=0.00690852 t=12045
bu1 cheng2 shu2 	不成熟	c=1 d=0.70822 t=12045
bu1 chu1 	不出	c=0 d=0.00695994 t=12045
bu1 chu1 lai2 	不出來	c=1 d=0.105399 t=12045
bu1 chy1 	不吃	c=1 d=0.985112 t=12045
bu1 ci2 	不齊	c=5 d=0.744546 t=12045
bu1 cing1 chu3 	不清楚	c=0 d=0.0778801 t=12045
bu1 ciuan2 	不全	c=1 d=0.394554 t=12045
bu1 cuo1 	不錯	c=1 d=0.0100518 t=12045
bu1 da3 	不打	c=1 d=0.162026 t=12045
bu1 da4 	不大	c=3 d=1.51353 t=12045
bu1 dai4 	不帶	c=2 d=0.0693441 t=12045
bu1 dai4 biau3 	不代表	c=1 d=0.301194 t=12045
bu1 dan1 wu4 	不耽誤	c=4 d=1.24784 t=12045
bu1 dau4 	不到	c=1 d=0.07502 t=12045
bu1 de1 bu1 	不得不	c=1 d=0.100259 t=12045
bu1 de1 jin4 	不得勁	c=1 d=0.00597602 t=12045
bu1 deng3 	不等	c=1 d=0.18225 t=12045
bu1 deng3 yu1 	不等於	c=1 d=0.000174253 t=12045
bu1 ding4 zi1 fen1 	不定積分	c=1 d=0.628135 t=12045
bu1 dou3 	不都	c=1 d=0.104874 t=12045
bu1 dou3 shy4 	不都是	c=1 d=0.00360656 t=12045
bu1 duan4 	不斷	c=1 d=0.183599 t=12045
bu1 dui4 	不對	c=2 d=0.258027 t=12045
bu1 fang1 bian4 	不方便	c=2 d=0.0813528 t=12045
bu1 fang4 	不放	c=0 d=0.0519442 t=12045
bu1 fang4 rhen2 	不放人	c=1 d=0.522046 t=12045
bu1 fen1 	不分	c=1 d=0.109701 t=12045
bu1 gai3 	不改	c=1 d=0.625002 t=12045
bu1 gan3 xing1 ciu4 	不感興趣	c=1 d=0.33454 t=12045
bu1 gen1 	不跟	c=2 d=0.346456 t=12045
bu1 gou4 	不夠	c=3 d=0.109375 t=12045
bu1 guan3 	不管	c=2 d=0.030957 t=12045
bu1 guo1 	不過	c=1 d=0.522046 t=12045
bu1 hau3 	不好	c=3 d=0.282755 t=12045
bu1 hau3 yi4 sy1 	不好意思	c=1 d=0.786628 t=12045
bu1 hui4 	不會	c=5 d=1.10846 t=12045
bu1 hui4 yau1 	不會要	c=1 d=0.1764 t=12045
bu1 ja1 	不加	c=0 d=0.097531 t=12045
bu1 jan1 duan4 	不間斷	c=1 d=0.65377 t=12045
bu1 jau4 	不叫	c=1 d=0.22091 t=12045
bu1 ji4 de1 	不記得	c=2 d=0.599404 t=12045
bu1 jin3 	不僅	c=4 d=0.571209 t=12045
bu1 jin3 you3 	不僅有	c=1 d=0.271173 t=12045
bu1 ju4 	不具	c=1 d=0.687289 t=12045
bu1 kan1 	不看	c=2 d=0.970743 t=12045
bu1 kau3 	不考	c=2 d=0.309305 t=12045
bu1 keo3 	不可	c=1 d=0.852144 t=12045
bu1 keo3 bi4 mian3 	不可避免	c=0 d=0.0860708 t=12045
bu1 keo3 bi4 mian3 di4 	不可避免地	c=1 d=0.865022 t=12045
bu1 keo3 neng2 	不可能	c=1 d=0.562705 t=12045
bu1 keo3 wui4 	不可謂	c=1 d=0.000452827 t=12045
bu1 li3 je3 	不理解	c=2 d=0.0133674 t=12045
bu1 lian2 siu2 	不連續	c=1 d=0.0508265 t=12045
bu1 lian2 siu2 fu1 zhy4 	不連續複製	c=1 d=0.0483156 t=12045
bu1 lian2 siu2 sing4 	不連續性	c=0 d=0.0079659 t=12045
bu1 liau3 	不了	c=3 d=0.622872 t=12045
bu1 ling4 rhen2 fang4 sin1 	不令人放心	c=1 d=0.013912 t=12045
bu1 lun4 	不論	c=2 d=0.108067 t=12045
bu1 nan2 	不難	c=1 d=0.774916 t=12045
bu1 neng2 	不能	c=13 d=0.932031 t=12045
bu1 qu4 	不去	c=1 d=0.00384878 t=12045
bu1 quo1 ding4 	不確定	c=3 d=2.16128 t=12045
bu1 rhan3 	不然	c=1 d=0.0502874 t=12045
bu1 rhu2 	不如	c=4 d=1.47897 t=12045
bu1 shan4 yu1 	不善於	c=1 d=0.444858 t=12045
bu1 shang4 	不上	c=1 d=0.843665 t=12045
bu1 shang4 qu4 	不上去	c=0 d=0.0218712 t=12045
bu1 shau3 	不少	c=4 d=0.0164034 t=12045
bu1 shei4 	不睡	c=0 d=0.0063609 t=12045
bu1 sheng1 	不生	c=1 d=0.123687 t=12045
bu1 sheng4 	不勝	c=1 d=0.0244775 t=12045
bu1 sheo1 	不設	c=2 d=0.238893 t=12045
bu1 shou1 lu1 	不收錄	c=1 d=0.794534 t=12045
bu1 shuo1 	不說	c=1 d=0.970446 t=12045
bu1 shy4 	不是	c=18 d=2.47732 t=12045
bu1 shy4 shuo1 	不是說	c=2 d=0.794534 t=12045
bu1 siang1 deng1 	不相登	c=-1 d=0 t=12045
bu1 siang1 deng3 	不相等	c=2 d=1.35472 t=12045
bu1 siang1 guan1 	不相關	c=1 d=0.0291588 t=12045
bu1 siang1 yung2 	不相容	c=1 d=0.965605 t=12045
bu1 siang3 	不想	c=2 d=0.267483 t=12045
bu1 sie3 	不寫	c=0 d=0.00439369 t=12045
bu1 sie3 liau3 	不寫了	c=1 d=0.0441572 t=12045
bu1 siu1 yau1 	不需要	c=1 d=0.392586 t=12045
bu1 suan4 	不算	c=1 d=0.0182243 t=12045
bu1 suan4 da4 	不算大	c=1 d=0.0780817 t=12045
bu1 sung4 qi4 	不送氣	c=1 d=0.364219 t=12045
bu1 tai4 	不太	c=0 d=0.00731678 t=12045
bu1 tai4 gou4 	不太夠	c=1 d=0.0735345 t=12045
bu1 tai4 yuan2 	不太原	c=-1 d=0 t=12045
bu1 tai4 yuan3 	不太遠	c=1 d=0.0129068 t=12045
bu1 tung2 	不同	c=21 d=2.28543 t=12045
bu1 tung2 cheng2 du4 	不同程度	c=1 d=0.99005 t=12045
bu1 tung2 di1 	不同的	c=1 d=0.878095 t=12045
bu1 tung2 jai1 duan4 	不同階段	c=1 d=0.506617 t=12045
bu1 tung2 le1 	不同的	c=3 d=0.88692 t=12045
bu1 tung2 pu3 xi4 	不同譜系	c=1 d=0.496585 t=12045
bu1 wan2 	不完	c=0 d=0.0185444 t=12045
bu1 wan2 	不玩	c=1 d=0.13416 t=12045
bu1 wan2 ciuan2 	不完全	c=1 d=0.000850233 t=12045
bu1 wan2 zheng3 	不完整	c=1 d=0.0833256 t=12045
bu1 wui2 	不爲	c=1 d=0.000241172 t=12045
bu1 xa4 	不下	c=1 d=0.559898 t=12045
bu1 xan4 zhy4 	不限制	c=1 d=0.329559 t=12045
bu1 xe2 tiau2 	不協調	c=1 d=0.19398 t=12045
bu1 yau1 	不要	c=6 d=0.718924 t=12045
bu1 yi1 	不易	c=0 d=0.0847894 t=12045
bu1 yi1 bian4 hua4 	不易變化	c=1 d=0.852144 t=12045
bu1 yi1 ding4 	不一定	c=2 d=0.216536 t=12045
bu1 yi1 lai4 	不依賴	c=0 d=0.057695 t=12045
bu1 yi1 lai4 yu1 	不依賴於	c=1 d=0.579842 t=12045
bu1 yi1 yang4 	不一樣	c=4 d=0.380493 t=12045
bu1 yi1 zhy4 	不一致	c=3 d=0.969971 t=12045
bu1 yin3 qi3 	不引起	c=1 d=0.0706512 t=12045
bu1 ying3 xang3 	不影響	c=1 d=0.108067 t=12045
bu1 you1 siou4 	不優秀	c=1 d=0.000455097 t=12045
bu1 yung2 yi1 	不容易	c=1 d=0.0105145 t=12045
bu1 yung4 	不用	c=10 d=1.20747 t=12045
bu1 yung4 leo1 	不用了	c=1 d=0.941765 t=12045
bu1 za3 	不咋	c=1 d=0.0301974 t=12045
bu1 zai4 	不再	c=1 d=0.798516 t=12045
bu1 zai4 	不在	c=1 d=0.802519 t=12045
bu1 zhang3 	不長	c=1 d=0.182684 t=12045
bu1 zheng4 chang2 	不正常	c=1 d=0.343009 t=12045
bu1 zheng4 tai4 	不正態	c=1 d=0.0611149 t=12045
bu1 zhung4 	不中	c=3 d=0.24906 t=12045
bu1 zhy1 chy2 	不支持	c=1 d=0.00860854 t=12045
bu1 zhy1 dau4 	不知道	c=9 d=1.41153 t=12045
bu1 zhy1 lau3 	不知老	c=-1 d=0 t=12045
bu1 zhy3 yu1 cy3 	不止於此	c=1 d=0.011109 t=12045
bu1 zin4 siang1 tung2 	不盡相同	c=1 d=0.826959 t=12045
bu1 ziou4 	不就	c=1 d=0.479505 t=12045
bu1 zu4 	不做	c=1 d=0.231078 t=12045
bu1 zy3 	不只	c=3 d=0.822835 t=12045
bu1 zy3 shy4 	不只是	c=1 d=0.955997 t=12045
bu3 ding1 	補丁	c=1 d=0.496585 t=12045
bu3 ti3 	補體	c=23 d=2.00145 t=12045
bu3 ti3 cheng2 fen1 	補體成分	c=4 d=1.30548 t=12045
bu3 ti3 huo2 hua4 tu2 jing4 	補體活化途徑	c=1 d=0.0916297 t=12045
bu3 ti3 ji1 huo2 	補體激活	c=1 d=0.151072 t=12045
bu3 ti3 ji1 huo2 tu2 jing4 	補體激活途徑	c=1 d=0.0816756 t=12045
bu3 ti3 shou4 ti3 	補體受體	c=1 d=0.071719 t=12045
bu3 ti3 tiau2 zie1 dan4 be2 	補體調節蛋白	c=1 d=0.0713613 t=12045
bu4 	步	c=0 d=0.00880368 t=12045
bu4 dui4 	部隊	c=1 d=0.308819 t=12045
bu4 fen1 	部分	c=5 d=0.932394 t=12045
bu4 fen1 zhung1 zhy3 	部分終止	c=1 d=0.873716 t=12045
bu4 ju2 	佈局	c=12 d=4.92295 t=12045
bu4 ju2 tu2 	佈局圖	c=1 d=0.147342 t=12045
bu4 lu3 ke1 	布魯克	c=1 d=0.108609 t=12045
bu4 wui4 	部位	c=4 d=0.659609 t=12045
bu4 zhou4 	步驟	c=0 d=0.00773047 t=12045
buo1 	啵	c=2 d=0.888357 t=12045
buo1 buo1 	波波	c=0 d=0.0546074 t=12045
buo1 buo1 wui3 qi2 	波波維奇	c=1 d=0.548812 t=12045
buo1 dau4 	博導	c=1 d=0.100761 t=12045
buo1 shy4 	博士	c=1 d=0.121846 t=12045
buo1 shy4 sheng1 	博士生	c=1 d=0.433874 t=12045
buo2 	薄	c=1 d=0.00719046 t=12045
cai1 	猜	c=1 d=0.0911727 t=12045
cai2 	才	c=10 d=1.76751 t=12045
cai2 dui4 	纔對	c=1 d=0.110251 t=12045
cai2 liau4 	材料	c=1 d=0.771052 t=12045
cai2 neng2 	才能	c=1 d=0.579842 t=12045
cai2 you3 	纔有	c=1 d=0.00229965 t=12045
cai3 pai2 	彩排	c=1 d=0.0411719 t=12045
cai3 yung4 	採用	c=0 d=0.00753961 t=12045
cai4 hau2 	蔡豪	c=3 d=1.36335 t=12045
cai4 jou3 lin2 	蔡玖霖	c=2 d=0.421584 t=12045
cai4 yi2 tian2 	蔡怡恬	c=1 d=0.0515605 t=12045
can1 guan1 	參觀	c=1 d=0.913931 t=12045
can1 ja1 	參加	c=1 d=0.763379 t=12045
can1 kau3 	參考	c=1 d=0.117655 t=12045
can1 shu3 	參數	c=1 d=0.323033 t=12045
can1 yu3 	參與	c=15 d=3.45938 t=12045
can1 yu3 xa4 	參與下	c=1 d=0.0569831 t=12045
can2 ji1 	殘基	c=1 d=0.0642483 t=12045
cang1 je1 	倉頡	c=0 d=0.097531 t=12045
cang1 je1 wu3 dai4 	倉頡五代	c=1 d=0.980199 t=12045
cau1 chang2 	操場	c=1 d=0.0381969 t=12045
cau1 sin1 	操心	c=1 d=0.168638 t=12045
cau1 zuo1 	操作	c=2 d=0.0587208 t=12045
cau2 cau1 zhuan1 quan2 ju1 siang1 fu3 	曹操專權居相府	c=1 d=0.847894 t=12045
cau3 an4 	草案	c=1 d=0.806541 t=12045
cau3 tu2 	草圖	c=0 d=0.0923116 t=12045
ceng2 jing1 	曾經	c=1 d=0.0278757 t=12045
cha1 	叉	c=0 d=0.00368832 t=12045
cha1 	差	c=1 d=0.0309618 t=12045
cha1 bie2 	差別	c=4 d=1.55823 t=12045
cha1 bu1 duo1 	差不多	c=4 d=0.597522 t=12045
cha1 cuo1 	差錯	c=0 d=0.023457 t=12045
cha1 dian3 	差點	c=1 d=0.131336 t=12045
cha1 rhu1 	插入	c=2 d=0.204632 t=12045
cha1 yi4 	差異	c=9 d=0.937191 t=12045
cha1 zhy2 	差值	c=1 d=0.360595 t=12045
cha2 	查	c=5 d=0.394009 t=12045
cha2 biau3 	查表	c=1 d=0.036334 t=12045
cha2 cha2 	查查	c=1 d=0.56836 t=12045
cha2 dau4 	查到	c=3 d=0.612626 t=12045
chan3 pin3 	產品	c=1 d=0.112478 t=12045
chan3 rhu1 	摻入	c=1 d=0.882497 t=12045
chan3 sheng1 	產生	c=18 d=3.91033 t=12045
chan3 wu1 	產物	c=3 d=1.90285 t=12045
chang2 	長	c=1 d=0.133323 t=12045
chang2 an4 	長按	c=1 d=0.00782838 t=12045
chang2 bian1 	長邊	c=1 d=0.215456 t=12045
chang2 chang2 	嘗嘗	c=1 d=0.174645 t=12045
chang2 du4 	長度	c=2 d=0.173008 t=12045
chang2 kuan1 	長寬	c=1 d=0.00621991 t=12045
chang2 lian2 	長鏈	c=1 d=0.923116 t=12045
chang2 liau3 	長了	c=1 d=0.323033 t=12045
chang2 nui4 	腸內	c=1 d=0.254107 t=12045
chang2 rhen2 	常人	c=1 d=0.204948 t=12045
chang2 shy1 	常識	c=1 d=0.349938 t=12045
chang2 wui2 	常爲	c=1 d=0.29671 t=12045
chang2 wui3 	常委	c=2 d=0.913602 t=12045
chang2 xing1 xan4 	長興縣	c=1 d=0.869358 t=12045
chang2 yi3 	常以	c=2 d=0.240111 t=12045
chang2 yung4 	常用	c=2 d=0.737123 t=12045
chau1 	超	c=1 d=0.109465 t=12045
chau1 biau1 	超標	c=3 d=0.268617 t=12045
chau1 min3 fan1 ying1 	超敏反應	c=2 d=0.423162 t=12045
chau1 shu1 	抄書	c=1 d=0.0263839 t=12045
che1 	測	c=1 d=0.19593 t=12045
che1 kai1 	拆開	c=1 d=0.000636198 t=12045
che1 lian2 	側鏈	c=1 d=0.034562 t=12045
che1 liang2 	測量	c=3 d=0.684499 t=12045
che1 liang2 zhy1 	測量值	c=1 d=0.331211 t=12045
che1 shuo3 	廁所	c=1 d=0.123687 t=12045
che1 yi1 	側翼	c=1 d=0.171187 t=12045
chen1 du4 	深度	c=1 d=0.10435 t=12045
chen1 zhan3 	伸展	c=2 d=0.918512 t=12045
chen2 	沉	c=1 d=0.0527292 t=12045
chen2 jang4 xi4 shu3 	沉降係數	c=1 d=0.529935 t=12045
chen2 liou2 gui1 ming4 yu3 an1 luo1 	陳留歸命與安樂	c=1 d=0.965605 t=12045
chen2 mei1 	沉默	c=0 d=0.00724398 t=12045
chen2 mei1 tu2 bian4 	沉默突變	c=1 d=0.0728029 t=12045
cheng1 	稱	c=10 d=1.33752 t=12045
cheng1 qi2 	稱其	c=0 d=0.0511709 t=12045
cheng1 qi2 wui2 	稱其爲	c=1 d=0.514274 t=12045
cheng1 wui2 	稱爲	c=19 d=3.48263 t=12045
cheng1 zhy1 wui2 	稱之爲	c=3 d=1.77332 t=12045
cheng2 	呈	c=0 d=0.0355226 t=12045
cheng2 	成	c=4 d=0.604474 t=12045
cheng2 du4 	程度	c=1 d=0.390628 t=12045
cheng2 dung1 lu4 	城東路	c=1 d=1 t=12045
cheng2 fen1 	成分	c=4 d=0.77053 t=12045
cheng2 gung1 	成功	c=1 d=0.037068 t=12045
cheng2 guo3 	成果	c=1 d=0.759572 t=12045
cheng2 rhen4 	承認	c=1 d=0.100761 t=12045
cheng2 shu2 	成熟	c=8 d=1.69129 t=12045
cheng2 shu2 le1 	成熟的	c=1 d=0.316637 t=12045
cheng2 shu2 si4 bau1 	成熟細胞	c=1 d=0.511709 t=12045
