# Rime user dictionary
#@/db_name	cangjie5.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4914
#@/user_id	stella
a 	日	c=23 d=1.919 t=4914
bsmh 	膠	c=2 d=0.158128 t=4914
btu 	岡	c=1 d=0.0259911 t=4914
btyv 	罔	c=2 d=0.625002 t=4914
bu 	目	c=1 d=0.748264 t=4914
buhu 	見	c=12 d=0.872187 t=4914
buln 	剛	c=1 d=0.169483 t=4914
buncr 	瞻	c=3 d=0.8566 t=4914
busei 	矚	c=1 d=1 t=4793
buyoj 	睟	c=1 d=1 t=4795
by 	丹	c=2 d=1.64082 t=4827
byhhh 	彤	c=2 d=0.191697 t=4914
bysm 	写	c=1 d=0.951229 t=4914
c 	金	c=6 d=0.992918 t=4914
ccc 	鑫	c=1 d=0.763379 t=4914
ci 	公	c=9 d=2.80346 t=4914
cihr 	鍼	c=2 d=1.7215 t=4914
cind 	公子	c=1 d=0.0490458 t=4914
ck 	父	c=4 d=0.785365 t=4914
ckhml 	斧	c=2 d=0.267135 t=4914
cllv 	鏤	c=1 d=0.496585 t=4914
cmvs 	兮	c=18 d=10.8082 t=4914
cnlh 	弟	c=1 d=0.755784 t=4914
cpi 	釣	c=1 d=0.0520787 t=4914
cqhk 	鍥	c=2 d=0.919457 t=4914
crno 	欲	c=2 d=0.822261 t=4914
crp 	总	c=7 d=2.357 t=4914
csh 	分	c=2 d=0.81866 t=4914
cshc 	貧	c=2 d=0.624213 t=4914
cytg 	鐘	c=1 d=0.0208584 t=4914
d 	木	c=14 d=2.5986 t=4914
dam 	查	c=1 d=0.995012 t=4914
dav 	根	c=2 d=0.790571 t=4914
dbdb 	棘	c=2 d=0.738211 t=4914
dbu 	相	c=10 d=1.3731 t=4914
dci 	松	c=1 d=0.467666 t=4914
dd 	林	c=2 d=0.704795 t=4914
ddbuh 	鬱	c=1 d=0.103312 t=4914
ddmmf 	禁	c=1 d=1 t=4818
ddnyo 	楚	c=2 d=0.823913 t=4914
dgti 	樹	c=1 d=0.272532 t=4914
dha 	柏	c=3 d=0.352298 t=4914
dhe 	板	c=1 d=0.22313 t=4914
dhe 	皮	c=1 d=0.224249 t=4914
dhml 	析	c=2 d=0.540641 t=4914
dhn 	机	c=3 d=1.52109 t=4914
dhui 	槐	c=2 d=0.782705 t=4914
di 	寸	c=2 d=0.637628 t=4914
dit 	械	c=1 d=0.402524 t=4914
djlv 	棲	c=2 d=0.118452 t=4914
djr 	枯	c=1 d=0.18452 t=4914
dkmym 	整	c=2 d=0.985112 t=4914
dl 	束	c=2 d=0.204948 t=4914
dllv 	樓	c=1 d=1 t=4828
dlmo 	桃	c=5 d=0.132333 t=4914
dmbs 	樗	c=1 d=0.127454 t=4914
dmem 	極	c=1 d=1 t=4741
dmmr 	梧	c=1 d=0.826959 t=4914
dmvs 	朽	c=1 d=0.45612 t=4914
dnd 	李	c=1 d=0.0254765 t=4914
dnem 	極	c=2 d=0.628135 t=4914
doo 	來	c=7 d=1.07481 t=4914
dpi 	构	c=2 d=1.26692 t=4914
drji 	檝	c=2 d=0.438235 t=4914
dsmm 	栩	c=2 d=1.19495 t=4914
dt 	来	c=1 d=0.0617291 t=4914
dttb 	構	c=1 d=0.213312 t=4914
dw 	東	c=1 d=1 t=4754
dyg 	柱	c=1 d=0.199888 t=4914
dyhn 	杭	c=1 d=0.759572 t=4914
dyrb 	槁	c=2 d=0.241821 t=4914
dywm 	檀	c=1 d=0.0911727 t=4914
e 	水	c=17 d=2.52407 t=4914
eag 	涅	c=2 d=0.759572 t=4914
eahu 	湄	c=1 d=0.380983 t=4914
eamh 	湯	c=2 d=1.15679 t=4914
eapv 	渴	c=1 d=0.0702988 t=4914
eavf 	濕	c=1 d=0.229925 t=4914
ebcd 	深	c=4 d=0.947442 t=4914
ebnd 	浮	c=2 d=1.89583 t=4764
ecd 	梁	c=2 d=0.114543 t=4914
ecfd 	粱	c=1 d=0.275271 t=4914
ecnh 	涕	c=1 d=0.369723 t=4914
edbu 	湘	c=2 d=1.01071 t=4914
edi 	对	c=1 d=0.364219 t=4914
edt 	涞	c=1 d=0.055299 t=4914
edyon 	深刻	c=2 d=1.20979 t=4914
ee 	汉	c=2 d=1.76257 t=4914
eeed 	桑	c=9 d=1.42758 t=4914
efh 	沙	c=2 d=0.752014 t=4914
efq 	泮	c=1 d=0.88692 t=4914
efq 	燙手	c=1 d=0.882497 t=4914
egi 	法	c=2 d=1.93131 t=4914
ehbv 	浓	c=1 d=1 t=4914
ehhv 	派	c=2 d=0.607471 t=4914
ehk 	沃	c=1 d=0.442639 t=4914
ehmy 	泝	c=1 d=1 t=4863
ehni 	汎	c=2 d=0.240184 t=4914
ehnr 	沿	c=1 d=1 t=4862
eill 	洲	c=1 d=0.0153752 t=4914
eilmi 	蚤	c=1 d=0.183599 t=4914
eine 	泳	c=1 d=1 t=4747
eiok 	涘	c=1 d=0.453845 t=4914
eir 	治	c=4 d=0.551421 t=4914
ejjl 	漸	c=5 d=1.6975 t=4914
ejlv 	淒	c=2 d=0.14308 t=4914
el 	沖	c=2 d=0.344952 t=4914
elmc 	潰	c=1 d=0.106459 t=4914
elxl 	淵	c=3 d=0.677057 t=4914
em 	江	c=3 d=0.501075 t=4914
emcw 	酒	c=2 d=0.312076 t=4914
emnr 	河	c=8 d=0.874937 t=4914
en 	㲸	c=1 d=0.506617 t=4914
eojnd 	漢字	c=2 d=1.75378 t=4914
eolb 	滫	c=2 d=0.818731 t=4914
eold 	滌	c=1 d=0.194952 t=4914
eoto 	濮	c=1 d=0.0526021 t=4914
eowy 	海	c=2 d=0.874564 t=4914
epa 	洵	c=1 d=0.102797 t=4914
epd 	池	c=1 d=1 t=4813
eqmb 	清	c=5 d=3.26652 t=4914
er 	水口	c=-1 d=1 t=4914
esmg 	濯	c=1 d=1 t=4760
etlo 	漢	c=1 d=1 t=4890
etlx 	瀟	c=2 d=0.154997 t=4914
etmb 	满	c=1 d=0.268474 t=4914
etmc 	淇	c=4 d=1.73103 t=4914
ewlj 	澤	c=1 d=1.61273e-05 t=4914
ewr 	洄	c=3 d=1.16787 t=4914
eyfe 	淑	c=5 d=0.895834 t=4914
eyiu 	流	c=7 d=1.32928 t=4914
eyjj 	漣	c=3 d=0.745015 t=4914
eykl 	济	c=2 d=0.903864 t=4914
eykm 	滻	c=1 d=1 t=4848
eylh 	涉	c=1 d=0.310367 t=4914
eylm 	沚	c=1 d=0.494109 t=4914
eysd 	游	c=3 d=1.21722 t=4914
eyt 	泣	c=1 d=0.367879 t=4914
eytj 	漳	c=1 d=1 t=4887
eyx 	濟	c=2 d=1.99501 t=4757
f 	火	c=5 d=0.218712 t=4914
fbnd 	学	c=1 d=0.606531 t=4914
fbrg 	堂	c=1 d=0.208045 t=4914
fbrhu 	党	c=6 d=1.5832 t=4914
fbrlb 	常	c=2 d=0.909373 t=4914
fbrpa 	嘗	c=5 d=0.646585 t=4914
fbryv 	裳	c=2 d=0.740818 t=4914
fdamg 	糧	c=1 d=0.900325 t=4914
fdmbc 	米爾頓	c=-1 d=0.166127 t=4914
fdmq 	煒	c=1 d=0.0977834 t=4914
fdqmb 	精	c=1 d=1 t=4799
fdyj 	料	c=1 d=0.869358 t=4914
ffbd 	榮	c=1 d=0.172907 t=4914
ffbks 	勞	c=4 d=2.73394 t=4914
fhbu 	省	c=1 d=0.182684 t=4914
fkcf 	燎	c=1 d=2.30004e-05 t=4914
fkmbc 	類	c=2 d=0.413558 t=4914
fmu 	光	c=3 d=1.11201 t=4914
fpi 	灼	c=2 d=0.0636503 t=4914
fqoq 	半年	c=5 d=1.32813 t=4914
fqsu 	卷	c=3 d=0.273898 t=4914
frrd 	燥	c=1 d=0.22091 t=4914
fsm 	当	c=1 d=0.546074 t=4914
fusmg 	耀	c=1 d=0.985112 t=4914
g 	土	c=5 d=0.854016 t=4914
gagi 	塒	c=1 d=0.0547488 t=4914
gamh 	場	c=2 d=0.328586 t=4914
gaph 	埸	c=1 d=0.856415 t=4914
gblm 	壺	c=1 d=0.121846 t=4914
gcglc 	赫	c=6 d=1.37802 t=4914
gcwa 	增	c=1 d=0.263158 t=4914
gdhne 	穀	c=2 d=0.333087 t=4914
gesj 	聲	c=4 d=0.636731 t=4914
ghvi 	坻	c=1 d=0.416862 t=4914
ghwj 	埤	c=2 d=0.136196 t=4914
gi 	去	c=3 d=0.450778 t=4914
gihs 	城	c=1 d=0.0880368 t=4914
giok 	埃	c=1 d=0.529935 t=4914
gjkni 	執	c=2 d=0.193385 t=4914
gjsle 	報	c=6 d=0.142494 t=4914
glll 	圳	c=1 d=0.865022 t=4914
gmam 	垣	c=1 d=0.351692 t=4914
gnmi 	壽	c=2 d=0.331448 t=4914
gnmu 	垝	c=1 d=0.349938 t=4914
gno 	坎	c=2 d=0.180081 t=4914
gnsh 	场	c=1 d=0.839457 t=4914
goiv 	越	c=1 d=0.23457 t=4914
goshr 	超	c=3 d=1.11368 t=4914
gosu 	起	c=2 d=0.697433 t=4914
gp 	志	c=1 d=0.637628 t=4914
gpd 	地	c=3 d=1.0481 t=4914
gpim 	均	c=4 d=2.13456 t=4914
gr 	吉	c=1 d=1 t=4767
grmbc 	頡	c=1 d=0.995012 t=4914
grmbo 	颉	c=1 d=0.980199 t=4914
grrv 	喪	c=1 d=0.282239 t=4914
grtr 	喜	c=2 d=0.0893673 t=4914
gsmb 	埽	c=1 d=0.158025 t=4914
gtiop 	懿	c=1 d=0.0432828 t=4914
gtje 	鼓	c=1 d=0.0209629 t=4914
gtlm 	墐	c=1 d=0.0948935 t=4914
h 	竹	c=2 d=0.32628 t=4914
ha 	白	c=5 d=1.10442 t=4914
had 	香木	c=1 d=0.371577 t=4914
hae 	泉	c=2 d=0.755784 t=4914
hahgr 	皓	c=1 d=2.08116e-05 t=4914
hail 	節	c=2 d=0.473001 t=4914
haodm 	简体	c=1 d=0.970446 t=4914
hapi 	的	c=18 d=3.08394 t=4914
hayck 	皎	c=1 d=1.92115e-05 t=4914
hayf 	鳥	c=7 d=1.95917 t=4914
hbks 	筋	c=1 d=0.514274 t=4914
hbnd 	學	c=5 d=0.869909 t=4914
hbr 	向	c=3 d=0.292293 t=4914
hbu 	自	c=13 d=2.68598 t=4914
hbut 	算	c=1 d=0.878095 t=4914
hbyi 	舟	c=5 d=0.436049 t=4914
hcln 	劉	c=2 d=1.70897 t=4914
hcq 	舉	c=1 d=0.0368832 t=4914
hd 	禾	c=3 d=0.279258 t=4914
hda 	香木	c=-1 d=0 t=4914
hda d 	香木	c=-1 d=0 t=4914
hdb 	策	c=1 d=0.215456 t=4914
hdbgb 	稱	c=2 d=0.962036 t=4914
hdbgr 	稠	c=1 d=1 t=4820
hdbhx 	稻	c=2 d=0.273898 t=4914
hdeq 	释	c=1 d=0.941765 t=4914
hdf 	秋	c=2 d=0.565934 t=4914
hdfh 	秒	c=1 d=0.965605 t=4914
hdgow 	穡	c=1 d=0.0992613 t=4914
hdhah 	穆	c=3 d=2.01176 t=4914
hdi 	私	c=1 d=0.075774 t=4914
hdjip 	穗	c=1 d=0.0352602 t=4914
hdjmo 	稼	c=3 d=0.2863 t=4914
hdl 	种	c=1 d=0.597501 t=4914
hdln 	利	c=4 d=0.605141 t=4914
hdlp 	乘	c=8 d=0.561783 t=4914
hdnd 	季	c=1 d=0.722527 t=4914
hdnf 	称	c=1 d=0.588605 t=4914
hdnhs 	秀	c=1 d=0.0629761 t=4914
hdnin 	移	c=1 d=1 t=4805
hdnsp 	稳	c=16 d=4.0188 t=4914
hdoe 	黍	c=8 d=0.691299 t=4914
hdqmc 	積	c=6 d=1.78503 t=4914
hdr 	和	c=8 d=3.053 t=4914
hdsmh 	穋	c=1 d=0.139457 t=4914
hdtoe 	穫	c=2 d=0.177234 t=4914
hdwce 	稷	c=6 d=0.547268 t=4914
hdymh 	穢	c=1 d=0.207008 t=4914
he 	反	c=5 d=1.95904 t=4914
hedam 	反查	c=2 d=1.99501 t=4914
heks 	务	c=1 d=1 t=4914
her 	各	c=2 d=0.283654 t=4914
hey 	处	c=2 d=1.5419 t=4914
hfd 	乎	c=3 d=0.806541 t=4914
hg de 	壬权	c=-1 d=0 t=4914
hgde 	𥵠	c=1 d=0.831104 t=4914
hgdi 	等	c=1 d=0.83527 t=4914
hgf 	熏	c=1 d=0.0930145 t=4914
hghu 	先	c=3 d=1.21699 t=4914
hgks 	動	c=2 d=0.705797 t=4914
hhbuc 	貿	c=2 d=0.59049 t=4914
hhdi 	射	c=2 d=0.621885 t=4914
hhk 	笑	c=3 d=2.07366 t=4914
hhmbc 	須	c=2 d=0.324652 t=4914
hhn 	躬	c=2 d=0.798516 t=4914
hhsli 	卵	c=2 d=0.557106 t=4914
hhw 	留	c=1 d=1 t=4791
hi 	么	c=1 d=0.231078 t=4914
hihqu 	我看	c=1 d=0.955997 t=4914
hj 	千	c=2 d=0.457163 t=4914
hjd 	朱	c=2 d=0.363791 t=4914
hjhne 	段	c=2 d=1.55746 t=4914
hjlp 	乖	c=2 d=0.163181 t=4914
hjrr 	管	c=3 d=0.758681 t=4914
hjtm 	垂	c=1 d=1 t=4896
hjwg 	千里	c=1 d=0.431711 t=4914
hjwg 	重	c=2 d=0.722527 t=4914
hk 	夭	c=7 d=0.970446 t=4914
hkp 	忝	c=2 d=1.02948 t=4914
hkp 	懲	c=1 d=0.298197 t=4914
hkr 	啓	c=1 d=1 t=4773
hlbuc 	質	c=3 d=0.860708 t=4914
hliet 	稳中求进	c=1 d=0.657047 t=4914
hlkb 	所有	c=1 d=0.831104 t=4914
hlmmf 	禦	c=1 d=0.891366 t=4914
hlo 	爪	c=1 d=0.50409 t=4914
hlsa 	简	c=2 d=1.80389 t=4914
hlvio 	所以	c=1 d=0.955997 t=4914
hml 	斤	c=1 d=0.268474 t=4914
hmnd 	築	c=1 d=0.131994 t=4914
hmoo 	筮	c=1 d=0.402524 t=4914
hmr 	后	c=1 d=0.339596 t=4914
hmsmb 	歸	c=5 d=0.20871 t=4914
hmv 	𤯕	c=1 d=0.951229 t=4914
hn 	几	c=2 d=0.906442 t=4914
hnhli 	風	c=11 d=1.39524 t=4914
hnkv 	筵	c=1 d=1 t=4850
hnmni 	夙	c=1 d=0.690734 t=4914
hnp 	愆	c=1 d=0.323033 t=4914
ho 	八	c=6 d=0.486351 t=4914
hoami 	得	c=11 d=0.932394 t=4914
hobgn 	衢	c=1 d=0.70822 t=4914
hobm 	徂	c=1 d=0.554327 t=4914
hobug 	忂	c=1 d=0.704688 t=4914
hodhe 	彼	c=36 d=3.03785 t=4914
hogdi 	待	c=2 d=0.260775 t=4914
hohne 	役	c=4 d=0.240266 t=4914
hohsk 	徼	c=1 d=1 t=4739
hoisb 	徧	c=2 d=0.143179 t=4914
hojwp 	德	c=4 d=0.648585 t=4914
holmy 	徘	c=1 d=1 t=4843
hommn 	行	c=20 d=2.98519 t=4914
homr 	答	c=1 d=0.272532 t=4914
homym 	征	c=1 d=0.697676 t=4914
honom 	径	c=1 d=0.244143 t=4914
hooae 	復	c=4 d=1.10262 t=4914
hoomd 	徐	c=1 d=1 t=4878
hoooo 	從	c=11 d=4.40384 t=4914
hounk 	微	c=1 d=0.0441572 t=4914
houuk 	微	c=1 d=0.985112 t=4914
howr 	徊	c=1 d=1 t=4844
hoyg 	往	c=4 d=0.814848 t=4914
hoylh 	徒步	c=1 d=0.0281559 t=4914
hpjmo 	稳定	c=1 d=0.235746 t=4914
hq 	牛	c=3 d=0.125035 t=4914
hqbu 	看	c=2 d=0.995012 t=4914
hqg 	牡	c=2 d=1.20703 t=4914
hqgdi 	特	c=3 d=0.694197 t=4914
hqi 	我	c=71 d=4.05988 t=4914
hqm 	生	c=11 d=2.0692 t=4914
hqok 	牧	c=1 d=0.100761 t=4914
hqphh 	物	c=4 d=0.505086 t=4914
hqu 	毛	c=1 d=0.546074 t=4914
hrhvp 	舐	c=1 d=0.110251 t=4914
hrmlb 	師	c=8 d=1.16154 t=4914
hs 	戶	c=2 d=0.183847 t=4914
hsh 	竹刀	c=1 d=0.114178 t=4914
hshml 	所	c=32 d=3.8764 t=4914
hshne 	殷	c=2 d=0.10868 t=4914
hsmg 	筐	c=2 d=0.0441788 t=4914
hsqf 	篤	c=3 d=2.61971 t=4914
ht 	升	c=1 d=1 t=4709
hthho 	衆	c=1 d=0.278037 t=4914
huhuu 	毳	c=1 d=1 t=4743
hup 	息	c=4 d=1.08191 t=4914
hvhui 	魏	c=1 d=1 t=4894
hvif 	系	c=4 d=1.79648 t=4914
hvio 	瓜	c=3 d=0.120703 t=4914
hvnin 	很多	c=1 d=0.360595 t=4914
hvp 	氏	c=1 d=0.304221 t=4914
hvpi 	氐	c=1 d=0.315058 t=4914
hx 	臼勾	c=-1 d=0 t=4914
hxbc 	興	c=3 d=2.04509 t=4914
hxh 	身	c=6 d=2.42777 t=4914
hxjc 	輿	c=2 d=0.412714 t=4914
hxo 	臾	c=2 d=0.32628 t=4914
hxvyv 	鼠	c=12 d=0.952703 t=4914
hxyc 	與	c=7 d=4.53783 t=4914
hylii 	螽	c=1 d=0.079659 t=4914
hyr 	咎	c=1 d=0.408608 t=4914
i 	戈	c=4 d=0.99132 t=4914
iav 	良	c=5 d=2.30924 t=4914
ibpp 	能	c=10 d=2.19294 t=4914
id 	术	c=1 d=0.511709 t=4914
idd 	麻	c=3 d=0.726149 t=4914
idlmy 	靡	c=16 d=1.64586 t=4914
ids 	书	c=6 d=2.20223 t=4914
iestv 	发展	c=4 d=1.80814 t=4914
ieyhv 	裘	c=1 d=0.071719 t=4914
ifbbr 	禍	c=3 d=0.504946 t=4914
ifbuu 	視	c=1 d=0.763379 t=4914
ifg 	社	c=1 d=1 t=4720
ifike 	祓	c=1 d=1 t=4759
iflwl 	神	c=5 d=1.10681 t=4914
ifmrw 	福	c=2 d=0.589078 t=4914
ifnl 	祁	c=2 d=0.0940103 t=4914
ifqhk 	禊	c=1 d=1 t=4763
ifryo 	蹙	c=2 d=1.25942 t=4914
iftwt 	禮	c=3 d=0.545173 t=4914
ifylm 	祉	c=1 d=1 t=4704
igifi 	座谈会	c=1 d=0.529935 t=4914
igmbc 	顧	c=1 d=0.123687 t=4914
ih mhv 	戊𠨸	c=-1 d=0 t=4914
ihmv 	威	c=4 d=2.74843 t=4914
ihq 	牟	c=1 d=0.647265 t=4914
ihs 	成	c=9 d=2.01516 t=4914
ihtqm 	參差	c=2 d=0.0384402 t=4914
ihvi 	底	c=1 d=0.99005 t=4914
ihymf 	戚	c=1 d=0.97531 t=4914
iiih 	參	c=2 d=0.181772 t=4914
ije 	求	c=11 d=1.47782 t=4914
ijp 	禪心	c=1 d=0.060205 t=4914
ikr 	啓	c=1 d=0.995012 t=4914
iksi 	为	c=11 d=3.31334 t=4914
ile 	康	c=1 d=0.847894 t=4914
ilil 	州	c=1 d=1 t=4914
ilo 	庚	c=1 d=0.0426384 t=4914
ima 	或曰	c=1 d=0.514274 t=4914
ime 	冰	c=2 d=0.175484 t=4914
imgce 	凌	c=1 d=0.178173 t=4914
imno 	次	c=1 d=0.71177 t=4914
in 	冖	c=3 d=0.67032 t=4914
ine 	永	c=12 d=3.67649 t=4914
inkg 	庭	c=1 d=0.107528 t=4914
ino 	之	c=132 d=8.60781 t=4914
iohmr 	之后	c=1 d=0.442639 t=4914
ioib 	腐	c=1 d=0.180866 t=4914
iok 	矣	c=22 d=5.13582 t=4914
ioog 	座	c=2 d=0.453845 t=4914
ipm 	式	c=4 d=2.09519 t=4914
ipmmc 	貳	c=2 d=1.08438 t=4914
irm 	或	c=3 d=1.02155 t=4914
irnbq 	觱	c=1 d=0.0323869 t=4914
irp 	感	c=1 d=0.187308 t=4914
is 	户	c=2 d=0.70822 t=4914
isik 	戾	c=1 d=0.45612 t=4914
ite 	度	c=3 d=1.91811 t=4914
itf 	庶	c=4 d=1.74537 t=4914
iv 	戉	c=1 d=0.946485 t=4914
ivbgr 	调	c=3 d=1.04499 t=4914
ivff 	谈	c=3 d=0.999368 t=4914
ivhne 	设	c=1 d=0.377192 t=4914
ivik 	议	c=3 d=1.22145 t=4914
ivj 	计	c=5 d=4.72731 t=4914
ivke 	发	c=3 d=1.70195 t=4914
ivmmr 	语	c=1 d=0.960789 t=4914
ivmym 	证	c=1 d=0.980199 t=4914
ivo 	认	c=1 d=0.273898 t=4914
ivoj 	许	c=1 d=0.960789 t=4914
ivsmr 	词	c=2 d=1.94605 t=4914
ivsu 	记	c=8 d=2.62188 t=4914
ivtmd 	谋	c=1 d=0.240508 t=4914
ivyhs 	访	c=2 d=1.14006 t=4914
iwcg 	廛	c=1 d=0.102797 t=4914
j 	十	c=9 d=1.3889 t=4914
janl 	都	c=4 d=2.03077 t=4914
jav 	宴	c=2 d=0.904837 t=4914
jbm 	宜	c=4 d=0.354984 t=4914
jbmc 	真	c=1 d=0.275271 t=4914
jbmm 	直	c=6 d=1.34109 t=4914
jbmrd 	橐	c=1 d=0.909373 t=4914
jbmri 	蠹	c=1 d=0.186374 t=4914
jbrrv 	囊	c=1 d=0.918512 t=4914
jbtj 	南	c=6 d=0.960789 t=4914
jbvif 	索	c=1 d=0.157237 t=4914
jc 	十八	c=1 d=0.585669 t=4914
jc 	穴	c=4 d=2.19128 t=4914
jchhn 	窮	c=2 d=0.851777 t=4914
jckn 	究	c=3 d=1.25007 t=4914
jcllv 	窶	c=1 d=0.0550232 t=4914
jclmo 	窕	c=1 d=0.0155297 t=4914
jcm 	空	c=1 d=0.353455 t=4914
jcmig 	窒	c=1 d=0.0925506 t=4914
jcmvh 	穿	c=1 d=0.436049 t=4914
jcn 	穹	c=1 d=0.092089 t=4914
jcor 	容	c=1 d=0.744532 t=4914
jcskr 	窘	c=1 d=0.0833256 t=4914
jcvis 	窈	c=1 d=0.826959 t=4914
jd 	未	c=4 d=0.831765 t=4914
jdi 	守	c=1 d=1 t=4908
jdok 	教	c=1 d=0.250324 t=4914
je 	支	c=1 d=0.99005 t=4914
jevif 	繫	c=4 d=1.11826 t=4914
jfb 	宵	c=1 d=0.155673 t=4914
jibi 	博	c=4 d=1.02048 t=4914
jijwj 	載	c=8 d=0.781639 t=4914
jip 	惠	c=5 d=0.454326 t=4914
jir 	哉	c=13 d=1.45409 t=4914
jjb 	朝	c=1 d=0.71177 t=4914
jjbc 	寘	c=2 d=0.0925531 t=4914
jjhml 	斬	c=1 d=0.249075 t=4914
jji 	戟	c=1 d=1.67854e-05 t=4914
jjmvm 	輕	c=2 d=1.87372 t=4872
jjnhd 	輮	c=2 d=0.311595 t=4914
jjomb 	輪	c=1 d=0.151829 t=4914
jjomn 	輸	c=1 d=0.946485 t=4914
jjrsj 	輯	c=1 d=0.927743 t=4914
jka 	者	c=36 d=4.50024 t=4914
jklp 	家教中心	c=1 d=1 t=4914
jkmgu 	实现	c=2 d=1.93208 t=4914
jkmr 	寄	c=1 d=0.597501 t=4914
jkp 	老	c=2 d=0.831886 t=4914
jlln 	事	c=12 d=1.79335 t=4914
jlp 	人慙	c=-1 d=0 t=4914
jm 	十一	c=1 d=0.444858 t=4914
jm 	士	c=12 d=3.18594 t=4914
jmam 	宣	c=1 d=1 t=4914
jmd 	宇	c=1 d=0.0862936 t=4914
jmig 	室	c=6 d=0.89139 t=4914
jmmu 	完	c=3 d=1.36594 t=4914
jmso 	家	c=5 d=0.777612 t=4914
jmuc 	寶	c=2 d=1.85642 t=4725
jmyo 	定	c=3 d=0.526367 t=4914
jnd 	字	c=7 d=4.44229 t=4914
jniu 	宛	c=3 d=1.23562 t=4914
jnoi 	輸入法	c=3 d=2.662 t=4914
joks 	定力	c=1 d=0.726149 t=4914
joni 	麥	c=2 d=0.146571 t=4914
jooyt 	定位	c=1 d=0.594521 t=4914
jp 	它	c=1 d=0.122456 t=4914
jpbn 	寧	c=2 d=1.26047 t=4914
jphu 	密	c=1 d=1 t=4821
jr 	古	c=2 d=0.354619 t=4914
jrb 	胡	c=7 d=0.637628 t=4914
